quarter,group,n,n_lc,score_min,score_max,sem_pairwise_cosine,sem_centroid_variance,sem_eff_dim,lc_sem_pairwise_cosine,lc_sem_centroid_variance,lc_sem_eff_dim,sem_pairwise_cosine_lo,sem_pairwise_cosine_hi,lc_sem_pairwise_cosine_lo,lc_sem_pairwise_cosine_hi
2024Q3,low,400,319,-7,2,0.12069642519848382,0.8771053158645123,73.58471567887287,0.13425952762653873,0.8630265523973689,69.06490199239215,0.11347597165201405,0.1283060406041246,0.12597027632650346,0.14288203784017348
2024Q4,high,400,325,2,39,0.1403588161443152,0.8574920808960456,75.46588809754125,0.15346191441887855,0.8439333530101026,72.41251944517703,0.13194580604517123,0.1492251826090095,0.14445617761483542,0.16302603805232624
2024Q4,low,400,291,-4,2,0.13182496521636528,0.8660045971966757,78.49729129535854,0.15136759404447384,0.8457161433921051,71.38203710730929,0.12374964957448031,0.1390999756953365,0.14122273808855468,0.16166064092892143
2025Q1,high,400,316,2,58,0.1219423418771994,0.8758625139774936,76.10141131372231,0.13785261890002704,0.8594190666028212,72.55622207482855,0.11445101897729053,0.1295108876997144,0.13005461146375047,0.14652313998557587
2025Q1,low,400,321,-7,2,0.12755825589446407,0.8702606397452721,77.63648060305844,0.1444090930666146,0.852925514699948,74.75188499940901,0.12022936456928833,0.13491928599269926,0.13615473233529027,0.15286598488512565
2025Q2,high,400,312,2,29,0.12050873999469314,0.8772925318552935,80.65374799140575,0.13393495720376167,0.8632891933000966,75.22065489742165,0.11285117369227857,0.12906348925798167,0.12362418466580659,0.14341226770011423
2025Q2,low,400,292,-4,2,0.13001096127799147,0.8678140661252035,75.48904947144506,0.15118185878301005,0.845911229774466,68.78364344740906,0.12293984824891832,0.13766458117589533,0.14188427135985945,0.16121902399225288
2025Q3,high,400,314,2,25,0.12802894587238176,0.8697911264922992,78.79256156409916,0.14647761675739152,0.8508041590921543,73.47329706569201,0.12099452634032683,0.13468909109812943,0.13797139317874868,0.154587420052673
2025Q3,low,400,282,-6,2,0.12426849839086512,0.873542172855112,80.55764221551097,0.14452022362136144,0.8524461601503455,72.86737934441173,0.11659857123823726,0.13216637895369726,0.13456873575733455,0.15502846178707108
2025Q4,high,400,319,2,36,0.1270418593980209,0.8707757452504742,76.67541367683984,0.14554981230352224,0.8517716604623196,72.24831916588629,0.12048212550630417,0.13382633194133584,0.13708384898922343,0.15438326185956597
2025Q4,low,400,294,-4,2,0.12081573207248618,0.876986307257695,77.4162211903148,0.1357869470745101,0.8612735527454712,70.32417869929581,0.1139985913258269,0.12790630056631286,0.12719622234922323,0.14417126796212262
2026Q1,high,400,330,2,48,0.13590537406387035,0.8619343893712893,79.08138663493999,0.15436578912575366,0.8430716829625062,74.10859176383092,0.12771013783629148,0.1444416945638212,0.1453842440862165,0.16327469443380696
2026Q1,low,400,287,-3,2,0.12977706674510406,0.8680473759217587,77.19729712378083,0.14781294535317696,0.8492177617734892,71.7731376625734,0.12248697515487549,0.13741595942612256,0.13895656045745075,0.15632546702968658
